"number","title","pageid","namespace","length","touched"
"51","MacGuffin","61082","","16566","20170310230643"
"52","Picaresque_novel","63136","","24160","20170307125746"
"53","Dime_novel","65402","","22300","20170301105418"
"54","List_of_narrative_techniques","65761","","29843","20170306095417"
"55","First-person_narrative","65974","","17753","20170306095422"
"56","List_of_notable_science_fiction_short_stories","67686","","7361","20170310145534"
"57","Big_Dumb_Object","68868","","3631","20161230151317"
"58","Moral","70174","","4472","20170306095935"
"59","School_and_university_in_literature","71935","","16977","20170307020550"
"60","Metonymy","72715","","25628","20170305180301"
"61","Clarion_Workshop","73785","","3315","20170306100442"
"62","Character_(arts)","76749","","16045","20170306101016"
"63","Good_Omens","78797","","21387","20170306101402"
"64","Storytelling","81450","","53271","20170311002625"
"65","Plot_hole","81842","","1482","20170120222228"
"66","A_Walking_Tour_of_the_Shambles","85565","","1936","20170306102824"
"67","Chess_in_early_literature","89022","","4693","20170311014705"
"68","Perverse_incentive","97234","","11999","20170310191145"
"69","Stock_character","98352","","14120","20170306112107"
"70","Historical_mystery","102475","","34337","20170307030829"
"71","Absurdist_fiction","102544","","5705","20170310000140"
"72","Time_Enough_at_Last","104108","","22984","20170306113749"
"73","Tragicomedy","104952","","8500","20170311015559"
"74","History_of_literature","138848","","49504","20170310000140"
"75","Doppelgänger","143806","","17360","20170302013410"
"76","Author_surrogate","144246","","3055","20170306153250"
"77","Comics","145443","","76012","20170309205708"
"78","Autobiographical_novel","145680","","7998","20170202150555"
"79","Red_Sonja","149831","","29414","20170306154254"
"80","Leitmotif","149832","","14160","20170306154254"
"81","Parable","150463","","9592","20170306154443"
"82","Homophone","151831","","11243","20170224024601"
"83","Chinese_literature","153825","","70597","20170306155444"
"84","Antioch_University","154560","","21729","20170305081134"
"85","Beat_Generation","157208","","67875","20170310154754"
"86","Ellery_Queen","157862","","36835","20170310214714"
"87","Preprint","158945","","18536","20170306161917"
"88","Monologue","161095","","7633","20170306014020"
"89","Détournement","162729","","12706","20170306164139"
"90","Huon_of_Bordeaux","162914","","6219","20170215235206"
"91","Secret_identity","163204","","12615","20170306164145"
"92","Flare_(novel)","164294","","1856","20170120131900"
"93","Conceit","164465","","6131","20170217193928"
"94","California_Institute_of_the_Arts","165084","","51069","20170310215056"
"95","Baron_Munchausen","165329","","68407","20170306164956"
"96","Robots_in_literature","165406","","5757","20170306165146"
"97","Adultery_in_literature","168328","","6715","20161230155506"
"98","Roman_à_clef","168726","","3630","20170220154341"
"99","Plot_device","171435","","10377","20170306170246"
"100","Initial_Teaching_Alphabet","178923","","7296","20170303145422"
"101","Malayalam_literature","179401","","49896","20170310014649"
"102","Alter_ego","179901","","7249","20170306172905"
"103","Epistle","181117","","14781","20170310032246"
"104","Quest","188949","","10436","20170310145616"
"105","List_of_years_in_literature","190173","","97149","20170309220303"
"106","List_of_songs_that_retell_a_work_of_literature","193278","","37225","20170219074817"
"107","Mystery_fiction","193291","","8024","20170307030829"
"108","List_of_works_published_posthumously","195642","","137564","20170309235921"
"109","Catharsis","197055","","29469","20170306180125"
"110","Mr_Tompkins","199168","","3914","20170127112804"
"111","Backstory","200962","","3474","20170306180642"
"112","Pastoral","204406","","40190","20170308014530"
"113","The_Legacy_of_Heorot","205767","","12735","20170306181428"
"114","Pentameter","211952","","856","20170303105046"
"115","14th_century_in_literature","222852","","16227","20170224161409"
"116","15th_century_in_literature","222877","","29394","20170303105651"
"117","16th_century_in_literature","222878","","41639","20170217203911"
"118","17th_century_in_literature","222880","","22670","20170129142813"
"119","13th_century_in_literature","224753","","15391","20170303105657"
"120","Criticism","229072","","44639","20170311024349"
"121","University_of_California,_Riverside","230311","","85507","20170311033532"
"122","Sun_Wukong","231503","","24036","20170310051528"
"123","Action_fiction","232680","","2099","20170306191112"
"124","Panchatantra","235524","","49368","20170310215859"
"125","Thriller_(genre)","237274","","18830","20170310145515"
"126","Geatish_Society","238922","","6648","20170121162108"
"127","The_Diary_of_a_Nobody","242123","","47688","20170310170207"
"128","Baker_Street_Irregulars","242787","","10798","20170306192705"
"129","Beinecke_Rare_Book_&_Manuscript_Library","243345","","21081","20170311033534"
"130","Galician-language_literature","245342","","6066","20170306192730"
"131","The_Difference_Engine","245885","","13505","20170306192944"
"132","World_War_I_in_literature","246372","","26583","20170306192946"
"133","Zhu_Bajie","249299","","15127","20170310220128"
"134","Don_Juan","252113","","13152","20170306193705"
"135","Villain","254515","","11606","20170306194425"
"136","Narrative","255991","","44407","20170306194734"
"137","Aphorism","256799","","6225","20170306194742"
"138","Huntington_Library","261099","","27732","20170309205914"
"139","Homage_(arts)","274341","","2787","20170310131813"
"140","Matter_of_Britain","275301","","14019","20170311004358"
"141","Deus_ex_machina","276728","","19886","20170309143621"
"142","Susan_McMaster","289698","","8263","20170306205602"
"143","Medieval_literature","290763","","17797","20170310094919"
"144","Epigraph_(literature)","291229","","7908","20170218211630"
"145","White_paper","291336","","7608","20170301013622"
"146","Metafiction","292910","","7829","20170201135133"
"147","Romance_novel","293632","","72213","20170306205956"
"148","Newberry_Library","295743","","14550","20170306210438"
"149","Hindi_literature","296499","","32689","20170310014649"
"150","Kashmiri_literature","296521","","23838","20170306210440"
"151","Allusion","297267","","13496","20170310131813"
"152","Thesis","300215","","45864","20170310220351"
"153","Happy_ending","301456","","8415","20170310145434"
"154","Stylistics","302445","","18648","20170208023931"
"155","Logan's_Run","310660","","22923","20170306212653"
"156","Anthology","316889","","6834","20170310220403"
"157","Doon_de_Mayence","321875","","3131","20170121162420"
"158","Garin_de_Monglane","322878","","1306","20170120132158"
"159","Matter_of_Rome","323149","","4588","20170129151237"
"160","Formalism_(philosophy)","324863","","6384","20170306214349"
"161","Mimesis","329625","","24134","20170306215423"
"162","Metalepsis","334466","","6667","20170305035954"
"163","Tall_tale","339202","","13734","20170306221537"
"164","Artistic_license","340336","","6822","20170117151926"
"165","Anaphora_(rhetoric)","341714","","11727","20170303115232"
"166","The_Mote_in_God's_Eye","345005","","12468","20170306222132"
"167","Third-person_omniscient_narrative","348511","","147","20170217235154"
"168","Imagery","350381","","2350","20170306222816"
"169","Close_reading","351429","","4201","20170226100903"
"170","Diegesis","351909","","19174","20170310204611"
"171","Modern_Language_Association","352927","","12776","20170306223249"
"172","Comparative_literature","352939","","19212","20170310000140"
"173","Climax_(narrative)","353663","","3508","20170306223255"
"174","Readability","355291","","48329","20170306223540"
"175","Sight-reading","357777","","21313","20170306224212"
"176","Vernacular_literature","359237","","4295","20161230165945"
"177","Bathos","359443","","5386","20170306224347"
"178","Mechanics'_Institutes","366218","","21488","20170306225056"
"179","Postcolonial_literature","368413","","70037","20170311031824"
"180","Bibliophilia","369453","","5368","20170306225232"
"181","Soliloquy","372984","","3425","20170301020517"
"182","Modern_literature_in_Irish","377100","","19922","20170311030714"
"183","Speed_reading","378914","","17847","20170306110626"
"184","Subplot","379153","","3148","20170306230711"
"185","The_Inheritors_(Conrad_and_Ford_novel)","383912","","8448","20170306231105"
"186","Cross-genre","384857","","3315","20170120132332"
"187","English-language_editions_of_The_Hobbit","387185","","23340","20170306231458"
"188","Poetics_(Aristotle)","397064","","29493","20170311002554"
"189","Institut_canadien_de_Montréal","397128","","12081","20170306232225"
"190","Erotic_literature","398452","","71689","20170310000140"
"191","The_Gripping_Hand","398809","","5639","20170306232251"
"192","Iowa_Writers'_Workshop","399385","","9988","20170307191653"
"193","Deathtrap_(plot_device)","401963","","14749","20170123113441"
"194","Secret_history","401969","","23408","20170310172921"
"195","Menippean_satire","404289","","13798","20170129154055"
"196","Digression","404302","","6665","20161104053804"
"197","They'd_Rather_Be_Right","405777","","7794","20170306232927"
"198","History_of_crime_fiction","407998","","24155","20170307030829"
"199","Relic_(novel)","418537","","22656","20170306234957"
"200","Rama_II_(novel)","425371","","4187","20170306235739"
"201","Ghazal","427926","","21344","20170311004852"
"202","Teaching_stories","428496","","11977","20170217221624"
"203","Horror_and_terror","432622","","5296","20170309010106"
"204","The_Two_Noble_Kinsmen","437323","","11645","20170307001601"
"205","Newsletter","439613","","2527","20170307001946"
"206","Liaden_universe","444351","","52736","20170310221056"
"207","Literary_element","450998","","5244","20170220163921"
"208","Narrative_poetry","451981","","6611","20170310000140"
"209","Encounter_with_Tiber","453257","","2999","20170307004039"
"210","Literary_genre","455547","","5366","20170310000140"
"211","Flibbertigibbet","460547","","5055","20170310120510"
"212","Thomas_Fisher_Rare_Book_Library","461325","","7056","20170309175214"
"213","Peripeteia","461415","","9766","20170309143945"
"214","Persian_literature","462477","","62251","20170310112413"
"215","Literary_Kicks","463449","","1284","20170120132522"
"216","Collage_novel","463673","","1163","20170120132522"
"217","Algonquin_Round_Table","468063","","22864","20170214090245"
"218","Anecdote","470031","","4356","20170307005603"
"219","John_Rylands_Library","475580","","37016","20170309101435"
"220","Griot","475671","","17369","20170220165116"
"221","False_protagonist","476499","","18275","20170309193524"
"222","Poetic_justice","484540","","10664","20170307011448"
"223","Grotesque","486086","","31718","20170308110942"
"224","Loplop","495056","","849","20170120132624"
"225","Rama_Revealed","497096","","5228","20170307013313"
"226","Matter_of_France","497254","","10761","20170311001525"
"227","Euphuism","497566","","6606","20160706221934"
"228","Footfall","497663","","8996","20170307013335"
"229","Stylistic_device","498852","","16451","20170307013403"
"230","Invagination","500995","","4008","20170303131422"
"231","Bohemian_literature","506247","","2548","20170310131824"
"232","Inferno_(Niven_and_Pournelle_novel)","507929","","5848","20170307014639"
"233","Last_Chance_to_See","510257","","8753","20170307014733"
"234","The_Ugly_Little_Boy","512677","","9039","20170307015039"
"235","The_Light_of_Other_Days","526665","","8013","20170307020236"
"236","Story_arc","529844","","6515","20170308214230"
"237","The_Two_Georges","536064","","10705","20170307021634"
"238","Transgressive_fiction","537535","","11395","20170310072858"
"239","Epic_of_Manas","539743","","13286","20170303133007"
"240","The_Thirty-Six_Dramatic_Situations","543095","","9900","20161230174320"
"241","Romanzo_d'_appendice","549291","","1003","20170120132858"
"242","Narrative_structure","553888","","8646","20170307023333"
"243","Apologue","554172","","5868","20170121162908"
"244","Mester_de_Juglaría","562515","","1407","20170120132912"
"245","Mester_de_clerecía","562543","","2085","20170120132912"
"246","Narration","565176","","33018","20170307024353"
"247","Thieves'_World","572247","","14488","20170307025121"
"248","Green_paper","573752","","4120","20170203071346"
"249","Belisarius_series","578298","","11598","20170213224351"
"250","List_of_modernized_adaptations_of_old_works","578319","","43967","20170306230050"
"251","National_Novel_Writing_Month","581777","","27279","20170310221559"
"252","Différance","588531","","32412","20170307030233"
"253","Authorial_intent","588564","","12507","20170309054917"
"254","Speculations","594757","","1343","20170120133027"
"255","Erlang_Shen","600698","","17149","20170308103302"
"256","Hawaiian_literature","608301","","5371","20170307032828"
"257","Dialogic","622495","","7284","20161106015118"
"258","Fallen_Angels_(science_fiction_novel)","624435","","9198","20170307040237"
"259","Philippic","628633","","3079","20170307041124"
"260","Comic_novel","631711","","1951","20170311015559"
"261","Les_Champs_magnétiques","642093","","2774","20170307043023"
"262","Literary_language","646598","","25582","20170307220246"
"263","Aside","649720","","2778","20170218010135"
"264","Western_fiction","655326","","11373","20170307044140"
"265","Index_of_literature_articles","657868","","4765","20170310000140"
"266","List_of_critics","658937","","3506","20170225101405"
"267","Conflict_(narrative)","658994","","11766","20170307044526"
"268","Contrast_(literary)","659073","","1606","20170307044526"
"269","Didacticism","659273","","4587","20170218011652"
"270","Frame_story","659824","","14911","20170307210914"
"271","Legal_thriller","661750","","2822","20170308085315"
"272","Classical_Prose_Movement","667124","","2022","20170120133212"
"273","The_Twelve_Chairs","667280","","7699","20170307044924"
"274","The_Little_Golden_Calf","667283","","6645","20170307044924"
"275","Billy_Bunter","667642","","33293","20170307044926"
"276","Baligant","668688","","891","20170307045036"
"277","Lecture","670497","","14121","20170302094502"
"278","In_medias_res","674787","","11831","20170309040007"
"279","Nightfall_(Asimov_novelette_and_novel)","677813","","12402","20170307045434"
"280","Occitan_literature","682906","","58445","20170307045542"
"281","Faber_and_Faber","692115","","11814","20170304045103"
"282","Theme_(narrative)","699908","","7037","20170307050751"
"283","Cradle_(novel)","700955","","5291","20170307050757"
"284","Subtext","708181","","13482","20170310131856"
"285","Oral_literature","710771","","6796","20170309180452"
"286","Copy_(written)","714335","","1178","20170310210520"
"287","Narratology","718763","","8948","20170307052232"
"288","Inclusio","722906","","8288","20170119163854"
"289","Naked_Came_the_Stranger","726178","","7415","20170308121018"
"290","Kenosis","734706","","11964","20170303145838"
"291","Ergodic_literature","739147","","6064","20170106081205"
"292","List_of_English-language_book_publishing_companies","746089","","38010","20170307061717"
"293","Night_letter","748423","","2157","20170120133259"
"294","Poetry_reading","751455","","5857","20170302210520"
"295","Inner_Party","758680","","2914","20170307055111"
"296","Dramatic_structure","766049","","9938","20170310222253"
"297","A._J._Raffles","768522","","23216","20170307055830"
"298","Ethos","795780","","26819","20170310152404"
"299","Rhymers'_Club","797696","","3624","20170307062511"
"300","Petrashevsky_Circle","806474","","15851","20170213101515"
"301","Tel_Quel","813995","","5111","20170103181202"
"302","King_Edward_VII_Professor_of_English_Literature","833121","","1090","20170119165836"
"303","Plantation_tradition","834809","","1655","20170120133413"
"304","Máel_Dúin","843746","","13973","20170301033401"
"305","Funerary_text","847681","","2606","20170202132030"
"306","Chick_lit","850309","","10612","20170215073414"
"307","Inventor's_notebook","852020","","3523","20161230222551"
"308","Kannada_literature","860171","","78885","20170307070420"
"309","Nouveau_roman","866402","","4639","20170307071139"
"310","Aristeia","881842","","2419","20170303154334"
"311","Plot_twist","885730","","20263","20170311024904"
"312","Intertextuality","886812","","25056","20170307164744"
"313","Narrativity","886895","","1490","20170120133532"
"314","Association_des_Critiques_et_des_journalistes_de_Bande_Dessinée","892499","","921","20170120133539"
"315","The_Garden_of_Rama","911179","","4576","20170307075057"
"316","Sögubrot_af_nokkrum_fornkonungum","913040","","1559","20170307075358"
"317","Chekhov's_gun","914564","","3633","20170307075536"
"318","Papel_volante","925919","","1333","20170120133616"
"319","Ancient_Greek_literature","926219","","46670","20170310042419"
"320","Jack_Shaftoe","927701","","4676","20170209084814"
"321","Francis_Crawford_of_Lymond","933805","","5166","20170228031820"
"322","The_Cobweb_(novel)","935384","","2067","20170307081518"
"323","Interface_(novel)","935408","","4191","20170307081518"
"324","Keynote","937662","","4340","20161106172855"
"325","Empire_of_Man","943459","","8474","20170307081939"
"326","Institut_canadien_de_Québec","944614","","910","20170303163214"
"327","Harry_Ransom_Center","946273","","12748","20170311034505"
"328","Spur_Award_for_Best_Short_Fiction","948071","","4708","20160501110131"
"329","Lucifer's_Hammer","954128","","10682","20170307082912"
"330","In_Death_Ground","957682","","4138","20170307083618"
"331","The_Shiva_Option","957685","","5192","20170307083618"
"332","Book_discussion_club","970458","","18618","20170119142639"
"333","Mental_illness_in_fiction","977184","","24740","20161231103907"
"334","Pitch_(filmmaking)","983079","","4393","20170307091442"
"335","Premise_(filmmaking)","983541","","604","20170301034914"
"336","Foreword","983787","","2934","20170307091444"
"337","Para_Handy","985761","","7631","20161230231412"
"338","Noir_fiction","997274","","9724","20170309134552"
"339","Mythopoeic_Society","997595","","5540","20170310145434"
"340","Académie_Goncourt","1014086","","6179","20170121164130"
"341","Narrative_environment","1039975","","1488","20170119184513"
"342","Memorandum","1050798","","6767","20170218042126"
"343","Spoudaiogeloion","1054224","","926","20170303180354"
"344","Translation_(rhetoric_device)","1054654","","1722","20170120133825"
"345","Michael_Field_(author)","1061022","","9634","20170308043231"
"346","Closet_drama","1061223","","6233","20161230232104"
"347","Renaissance_Latin","1061669","","7045","20170307101253"
"348","Mishima:_A_Life_in_Four_Chapters","1068884","","13276","20170310123059"
"349","Genre_studies","1071653","","68155","20170310000140"
"350","Airport_novel","1080319","","9570","20170129065049"
"351","Ollam","1085351","","2173","20170120133845"
"352","List_of_literary_magazines","1085701","","22322","20170309231428"
"353","Women's_fiction","1089263","","2300","20170120133850"
"354","Protasis","1099564","","691","20170120133959"
"355","List_of_longest_novels","1101767","","24581","20170301082213"
"356","Kids'_Lit_Quiz","1102483","","4630","20161108153953"
"357","Carnivalesque","1105101","","7070","20170216091224"
"358","Chronological_Bible_Storying","1105511","","3776","20170130042543"
"359","The_Sitwells","1141176","","4735","20170311014217"
"360","Black_House_(novel)","1145369","","6292","20170307104952"
"361","Comic_book_death","1148117","","6472","20170308160720"
"362","Windycon","1158371","","2730","20170120134215"
"363","Marathon_Reading","1160651","","1465","20170120134231"
"364","UEA_Creative_Writing_Course","1164683","","6321","20170307105919"
"365","Confessional_writing","1168184","","2372","20170120134237"
"366","Jonbar_hinge","1173691","","4542","20170120134242"
"367","Dream_Park","1176015","","7167","20170307110145"
"368","Ecocomposition","1198465","","7020","20170307111636"
"369","Belianis","1200263","","1196","20170120134438"
"370","Words_per_minute","1227905","","15334","20170310143656"
"371","Marathi_literature","1237263","","23807","20170310014649"
"372","Syntagma_(linguistics)","1244283","","2055","20170303210800"
"373","Reading_for_special_needs","1246414","","29288","20170307114937"
"374","Functional_illiteracy","1255319","","8066","20170309010329"
"375","Reading_readiness_in_the_United_States","1260116","","11995","20161230233548"
"376","Alternative_literature","1265923","","9056","20161218153310"
"377","Annual_report","1272420","","5679","20170307120456"
"378","Proceedings","1274640","","3827","20170301041211"
"379","Voyage_of_the_Damned","1276307","","11441","20170307121055"
"380","Timeline_of_Shakespeare_criticism","1277608","","28496","20170307121350"
"381","Hamartia","1280581","","16377","20161130201936"
"382","KWL_table","1289792","","13319","20161230233729"
"383","Norman_Lindsay_Gallery_and_Museum","1292554","","3650","20170307122524"
"384","Meta-reference","1299072","","30612","20170307182725"
"385","Self-insertion","1303713","","3688","20170307123311"
"386","List_of_cultural_references_in_The_Cantos","1311198","","57537","20170307124207"
"387","Cordel_literature","1311619","","4378","20170120134751"
"388","History_of_modern_literature","1321881","","33757","20170310000140"
"389","Subvocalization","1324735","","29814","20170303000417"
"390","Escapist_fiction","1325505","","1104","20170120134800"
"391","Vision_span","1331269","","4146","20161215040749"
"392","Left_Book_Club","1333841","","22062","20170226190323"
"393","Shrine_of_the_Book","1340550","","4675","20170307130741"
"394","Bevis_of_Hampton","1341942","","9651","20170211080518"
"395","Brimstone_(Preston_and_Child_novel)","1362176","","3664","20170307133739"
"396","Javanese_historical_texts","1362301","","2330","20170307133739"
"397","Comic_Con","1362445","","4428","20170301041746"
"398","Sam_Slick","1367424","","2240","20170120135010"
"399","List_of_novellas","1377810","","13896","20170306111111"
"400","The_Cabinet_of_Curiosities","1378645","","8757","20170307140645"
"401","The_Gilded_Age:_A_Tale_of_Today","1379823","","8926","20170307140659"
"402","Ars_Poetica_(Horace)","1381344","","8696","20170310224643"
"403","Travel_literature","1393859","","25493","20170307232511"
"404","Men’s_adventure","1396645","","7746","20170211051311"
"405","Household_Gods","1403779","","3421","20170307171659"
"406","Afterword","1419427","","1237","20170308013401"
"407","Chivalric_romance","1430828","","29035","20170310000140"
"408","Hysteron_proteron","1430935","","2830","20170309040007"
"409","Radio_reading_service","1440020","","4331","20170303045936"
"410","Sustained_silent_reading","1441216","","7482","20161214005641"
"411","National_Reading_Panel","1441316","","6606","20170210070752"
"412","Bancroft_Library","1442963","","13381","20170310144704"
"413","Supernatural_fiction","1444250","","2944","20170310145515"
"414","Morgan_Library_&_Museum","1459678","","16001","20170309203539"
"415","Clip_show","1460069","","10757","20161230234630"
"416","Casa_de_Isla_Negra","1460996","","2038","20170308021446"
"417","Muwashshah","1463988","","5686","20170303222648"
"418","Atlanta_Nights","1475674","","11871","20170303020300"
"419","Paragone","1488146","","1098","20170303223142"
"420","Breca_the_Bronding","1498288","","15452","20170108233135"
"421","Myth_of_redemptive_violence","1499717","","8856","20170309010332"
"422","List_of_Watch_Tower_Society_publications","1503223","","45866","20170305101807"
"423","Third_Generation_of_Postwar_Writers","1512867","","1902","20170302004642"
"424","Prologue","1523896","","7842","20170308032533"
"425","Purple_prose","1528526","","4974","20170302011730"
"426","Eye_dialect","1533819","","12306","20170226180905"
"427","Exercises_in_Style","1548677","","9091","20170308034330"
"428","Psychological_novel","1551566","","6789","20170308034506"
"429","Kmart_realism","1564925","","2162","20170210051819"
"430","Tetractys","1570530","","11473","20170308035554"
"431","Qasida","1577919","","7877","20170310144007"
"432","Jèrriais_literature","1579491","","18235","20170308040119"
"433","Shane_Schofield","1588133","","46760","20170203035748"
"434","List_of_literary_movements","1588815","","14106","20170124001342"
"435","Grub_Street","1590716","","46870","20170301042829"
"436","History_of_books","1591936","","50090","20170304220008"
"437","Aethicus_Ister","1596398","","5395","20170308040730"
"438","Phonemic_awareness","1604015","","5816","20170123162501"
"439","Thing_theory","1615618","","3035","20170308041806"
"440","The_Rule_of_Four","1618152","","9725","20170220072205"
"441","Starchild_Trilogy","1619538","","1390","20170308042048"
"442","Great_Conversation","1632214","","2282","20170128193531"
"443","Spey-wife","1635081","","1489","20170120140649"
"444","Reading_comprehension","1639193","","33434","20170308043101"
"445","Paradoxography","1640945","","2361","20161028234104"
"446","Hollywood_novel","1641410","","3988","20170209201205"
"447","Rudolf_Lingens","1665460","","3864","20170106040951"
"448","Chrestomathy","1669396","","2457","20170303231128"
"449","Fabulation","1685597","","1261","20170120140943"
"450","Abtin","1714534","","790","20170308050417"
"451","Fumblerules","1720724","","2359","20170308231344"
"452","Synthetic_phonics","1739229","","27079","20170311020106"
"453","Middle_Persian_literature","1750031","","11733","20170309064002"
"454","Short_story_collection","1759636","","1141","20170310000140"
"455","Sahitya_Akademi","1794384","","28730","20170310231915"
"456","A-Plot","1812230","","471","20170228032333"
"457","Brochure","1813417","","3289","20170218055911"
"458","Cowboy_poetry","1822448","","5847","20170206105340"
"459","Technical_report","1830038","","5257","20170306085859"
"460","Anti-romance","1840675","","1040","20170219145220"
"461","Blue_book","1845300","","9585","20170221192540"
"462","Film_adaptation","1851712","","25219","20170308055907"
"463","World_Book_Day","1853177","","6557","20170303020857"
"464","World_Book_Capital","1853272","","6853","20170308055927"
"465","Professor_of_Medieval_and_Renaissance_English_(Cambridge)","1855128","","1009","20170119205220"
"466","Chimen_Abramsky","1858880","","4191","20170308060201"
"467","List_of_book_titles_taken_from_literature","1874281","","23945","20170117120343"
"468","1632_series","1878256","","49495","20170308061120"
"469","It_was_a_dark_and_stormy_night","1888307","","9550","20170308061352"
"470","South_Asian_literature","1894762","","2330","20170130013821"
"471","List_of_writers'_conferences","1904631","","18301","20170223051546"
"472","The_Talisman_(King_and_Straub_novel)","1906837","","12235","20170308062135"
"473","Conflict_between_good_and_evil","1911151","","6230","20170309150420"
"474","El_Coyote_(character)","1932677","","45884","20170309091928"
"475","Purposeful_omission","1937186","","3159","20170205165122"
"476","Anagnorisis","1937861","","7453","20170310131932"
"477","Republic_of_Pemberley","1938878","","2773","20170212055808"
"478","Plot_point","1942806","","1455","20170228040959"
"479","Form_letter","1951242","","1961","20170210190634"
"480","Restoration_literature","1952472","","58466","20170203120106"
"481","Superfluous_man","1955475","","3132","20170308064045"
"482","Eucatastrophe","1961883","","4690","20170308064142"
"483","List_of_cultural_references_in_Divine_Comedy","1967286","","203885","20170308064410"
"484","Dramatization","1967467","","302","20170308064410"
"485","Amnon_Jackont","1973478","","4000","20170308064523"
"486","Mungojerrie","1974214","","4530","20170310232503"
"487","List_of_joint_winners_of_the_Hugo_and_Nebula_awards","2000840","","10086","20170128125707"
"488","Electronic_literature","2004486","","18063","20170114154032"
"489","Ariel's_Song","2029276","","4608","20170308070934"
"490","Robinsonade","2037602","","14479","20170308071056"
"491","Time's_Eye_(novel)","2046305","","11696","20170308071250"
"492","Flashback_(narrative)","2051540","","10865","20170308071558"
"493","Sunstorm_(novel)","2089819","","5210","20170308073154"
"494","Costard","2106667","","1886","20170308073634"
"495","Paraliterature","2110568","","1207","20170308073725"
"496","Anthology_Club","2115063","","4882","20170311020558"
"497","The_Complete_Works","2115122","","1235","20170301044851"
"498","Introduction_(writing)","2119393","","2263","20170308074009"
"499","Crime_Writers_of_Canada","2121373","","2812","20161231012034"
"500","The_Prince_(anthology)","2129772","","45124","20170308074153"
"501","The_Arthur_Ransome_Society","2134542","","3154","20161231012128"
"502","Rapid_serial_visual_presentation","2138419","","15662","20170308074405"
"503","Deal_with_the_Devil","2145547","","14249","20170304230601"
"504","Flashing_arrow","2167095","","2830","20170120142526"
"505","Epic_of_Sundiata","2179922","","12976","20170214024942"
"506","Shoulder_angel","2190258","","9149","20170308081304"
"507","Reliquary_(novel)","2194450","","4381","20170308081606"
"508","Armida","2202951","","5714","20170309105545"
"509","Smectymnuus","2223318","","2145","20161111034902"
"510","Wheel_of_fire","2224553","","2474","20170119212954"
"511","Literary_agent","2228958","","7884","20170308083230"
"512","Narrative_paradigm","2234191","","36734","20170227163104"
"513","Epilogue","2234574","","5383","20170308083532"
"514","Puzzle_mystery","2255725","","371","20170120142643"
"515","Picador_(imprint)","2264096","","1311","20170308084717"
"516","Fruitbearing_Society","2307468","","11685","20170308090603"
"517","Milford_Writer's_Workshop","2317471","","6988","20170308090845"
"518","William_and_Mary_(short_story)","2323856","","3240","20170308091153"
"519","Belles-lettres","2331387","","5040","20170203124537"
"520","Goncourt_brothers","2340908","","5273","20170304174301"
"521","Publishers_Weekly_lists_of_bestselling_novels_in_the_United_States","2351186","","1750","20161008084152"
"522","Shepherd_of_Salisbury_Plain","2361384","","404","20170120142916"
